"zipcode","latitude","longitude"
"49263,42.15160,-84.12100"
"37329,35.43280,-84.47590"
"94015,37.68170,-122.48100"
"63126,38.55700,-90.38178"
"84120,40.69390,-112.00900"
"71459,31.07750,-93.16220"
"92551,33.87000,-117.22000"
"97292,45.51310,-122.55500"
"47040,38.94173,-84.96095"
"43719,40.00090,-81.08050"
"21128,39.40670,-76.44700"
"15722,40.57530,-78.69700"
"75002,33.08395,-96.59369"
"06013,41.75920,-72.95920"
"66418,39.28510,-95.95430"
"81143,37.97770,-105.78000"
"00766,18.13040,-66.49260"
"14561,42.84669,-77.07947"
"94566,37.62694,-121.88028"
"76262,33.00043,-97.18586"
"J1S 0C9,45.59545,-71.96180"
"82602,42.86670,-106.31300"
"37311,35.17000,-84.86000"
"98607,45.63610,-122.40000"
"04763,46.10570,-68.09710"
"47403,39.10921,-86.54000"
"27230,35.75180,-79.73170"
"84765,37.13630,-113.65400"
"68925,40.43730,-98.43960"
"04013,43.80000,-70.07140"
"28456,34.34000,-78.26000"
"29464,32.82000,-79.86000"
"27594,36.48650,-78.17140"
"06109,41.70470,-72.67420"
"21236,39.37565,-76.46823"
"43821,40.14820,-82.03540"
"55029,45.63280,-93.19420"
"64141,39.08490,-94.58520"
"26347,39.27530,-80.12490"
"99784,65.02970,-163.04300"
"37365,35.37670,-85.57260"
"53404,42.76000,-87.81360"
"02054,42.16920,-71.36240"
"71820,33.77010,-94.26030"
"25015,38.23840,-81.48170"
"45802,40.74250,-84.10530"
"91384,34.56610,-118.65981"
"97038,45.05262,-122.56786"
"63160,38.62622,-90.18961"
"67332,37.06030,-95.21320"
"29824,33.78000,-81.93000"
"54160,44.12030,-88.10230"
"70732,30.60680,-91.70200"
"66762,37.44088,-94.64968"
"08867,40.57530,-74.96590"
"38369,36.13896,-88.91395"
"40059,38.35710,-85.58690"
"06073,41.65250,-72.57040"
"32607,29.64590,-82.41770"
"69162,41.15332,-102.85714"
"BS1 6FS,51.45451,-2.58791"
"57052,43.28460,-97.73520"
"73189,35.39290,-97.57910"
"74361,36.30000,-95.32000"
"16942,41.97670,-77.34393"
"N0B,43.54012,-80.55352"
"53098,43.22444,-88.61448"
"33852,27.29310,-81.36285"
"01773,42.42640,-71.30940"
"98937,46.65818,-120.61340"
"57238,44.90220,-96.78010"
"H8T 3J7,45.46059,-73.70480"
"39201,32.29080,-90.18460"
"62517,39.59230,-89.42570"
"93543,34.52110,-117.98368"
"03266,43.90879,-71.82599"
"48749,44.05340,-83.87210"
"17519,40.11834,-76.04821"
"00927,18.38780,-66.07420"
"LS1 9ZQ,53.80076,-1.54908"
"49240,42.17837,-84.09384"
"33312,26.11194,-80.19853"
"01062,42.33551,-72.67199"
"85252,33.48730,-111.92600"
"V0R 1W0,49.45639,-124.77492"
"31146,33.92620,-84.34130"
"48277,42.32530,-83.06050"
"29319,34.94480,-81.92830"
"R3E 3C4,49.91965,-97.19539"
"37162,35.48500,-86.46020"
"30438,32.09010,-82.05150"
"04438,44.59640,-68.92660"
"87029,36.37530,-106.93400"
"43560,41.69920,-83.73790"
"76566,31.47140,-97.90890"
"50207,41.46500,-92.70160"
"83634,43.47877,-116.24203"
